text;hof_OR_none
ZDF ZDFheute Jetzt stellt euch mal vor, ein deutscher hätte das 9 Jährige Mädchen vergewaltigt und wäre durch Syrische Flüchtlinge gestellt worden. Sondersendungen der Dankbarkeit von maischberger bis illner plus Staatsbürgerschaft und Bundesverdienst;NOT
Weil in Bremen 50 Korane zerrissen wurden sendet das ZDF 15 Minuten lang einen Bericht der Empörung. Das in DessauRoßlau ein 9 Jähriges Mädchen von einem Flüchtling vergewaltigt und von Zeugen gestellt wurde, darüber schweigt das ZDFheute ;NOT
der_zmd Reden sie lieber einmal davon wieviel Kirchen und christliche Symbole hier in Europa vom ihren Glaubensideologen geschändet wurden. ;NOT
Dem Bundestag ist es wichtiger gegen Rechts zu hetzen anstatt wichtige Anliegen zu bearbeiten. Machen die überhaupt noch etwas anderes ausser gegen die AfD kämpfen?     ;NOT
alle müssen etwas mehr tun?    Sonst wird es viel Leid geben.     Mehr als 1945. Viel mehr?    Und in jeder Hinsicht?    ;NOT
In Berlin werden künftig (auch) Studienabbrecher an öffentlichen Schulen Kinder unterrichten. Läuft in der Bildungsrepublik Deutschland.;NOT
Ich persönlich finde, dass die Toilette der geeignete Platz für dieses Buch ist. Besser ist es allerdings es nicht zu kaufen und einbrechen geht zu weit.   Ermittelt der Staatschutz eigentlich auch bei der Schändung christlicher Kirchen und Friedhöfe?  ;NOT
AfD in Brandenburg jetzt Nummer 1. Die Wahlen im Herbst werden das politische Gefüge in ganz ???? erschüttern und vllt. auch die GroKo sprengen. Ich freue mich drauf! ;NOT
+++ Heimatschatzkiste: Ein Schritt in die richtige Richtung +++    Dazu erklärt der sozialpolitische Sprecher der AfD-Fraktion, MdLFernandes : ;NOT
Nein, uns Ostdeutschen fehlt nicht der Kontakt zu Ausländern, sondern den Westdeutschen fehlt eher das Selbstbewusstsein und der Mut Kriminellen einen Riegel vorzuschieben  ;NOT
Wir können sie nicht zwingen, mit uns zu regieren. Wir können sie aber dazu zwingen, immer dreistere, dem Wählerwillen widersprechende Verliererkoalitionen bilden zu müssen. ;NOT
Nach suboptimalem Fahrverhalten zweier Autofahrer in Bahrenfeld und Altenwerder wurden ihre hochwertigen Fahrzeuge und die Führerscheine sichergestellt.  ??????;NOT
Geplünderte Mittelschicht: Die Freude bei einer Gehaltserhöhung währt nur kurz, denn der Staat kassiert Deutschlands Durchschnittsverdiener gnadenlos ab. Von 100 Euro mehr bleibt am Ende weniger als die Hälfte!  AfD Bundestag  ?? ;NOT
mairpeda Proteus93484191 SPIEGELONLINE Nebenbei:... nicht nur um ihre Familien zu ernähren, sondern auch um diesen Staat zwangsweise zu finanzieren.;NOT
„Wurde in den letzten Jahren vonseiten der Politik auf Verteilen statt Schaffen von Wohlstand gesetzt, steht uns ein noch radikalerer Weg bevor.“   Klasse, fundierter und bedrückender Lagebericht von thinkBTO   ;NOT
Tiefseher welt Wenn der Staat damit wenigstens für die Zukunft sorgen würde! Bildung, Innovation, Infrastruktur, .... stattdessen Sozialstaat für alle.;NOT
????'Cohn-Bendit ist kein altersverwirrter Spinner, sondern ein knallharter machtgeiler Kaderschmied der modernen Herrschsucht'. ????  ;HOF
Kein Mythos, sondern Realität: In Deutschland muss ein Durchschnittsverdiener mehr als die Hälfte von jedem zusätzlich verdienten Euro an den Staat abführen ;NOT
JohnStefan27 Bei der Veranstaltung sind auch alle 'öffentlichen Leute' herzlich willkommen :) *fl;NOT
PolizeiHamburg Ist dass nur für die Akademie oder auch für öffentliche Leute!?;NOT
"SEID AUCH MIT DABEI! activecityday  Wir sind es schon &amp; 365 Tage im Jahr aktiv in unserer Stadt. hamburgactivecity  Kommt zum Training für das Deutsche Sportabzeichen mit unserer Polizeiakademie  13. Juni 2019 | 8-15 Uhr | Leichtathletikhalle in Winterhude  ";NOT
Spendentour2019???????????????  Vier unserer Kollegen, mit streckenweise weiteren 'Mitfahrern', sind seit Freitag mit dem Fahrrad auf Deutschlandtour durch die Hauptstädte aller Bundesländer und sammeln Spenden. helfernhelfen  Mehr Infos:  ;NOT
"Spendentour2019 helfernhelfen???????????????  Am Sonntag haben unsere Radler nach 1000 Höhenmetern &amp; 120 km Weimar erreicht. Heute sind sie in Berlin und machen sich auf den Weg zur Kattenstiegsmühle um morgen Schwerin zu erreichen.  Mehr Infos: ";NOT
Ich drücke SebastianWippel jetzt erst recht die Daumen - dafür, dass er als erster AfD-Politiker das Amt des Oberbürgermeisters bekleidet. Dass er dies im Sinne der Bürger von Görlitz ausüben wird, daran besteht nicht der geringste Zweifel.  Wippel  ?? ;NOT
????????????????'Es reiche aus, wenn die Aktion grundsätzlich geeignet gewesen sei, jemanden einzuschüchtern, befand der BGH. Das Landgericht hat dies nun mit der Verurteilung bejaht. Einige Verteidiger kündigten bereits an, Revision einzulegen'.  ;NOT
Diese Art und Weise, Menschen zu verteufeln, die anders leben oder denken als man selbst... das macht mich echt wütend. Leute fahren mit dem Auto zur Arbeit, um ihre Familien zu ernähren. Jürgen Trittin lässt sich fahren. ;NOT
ISDN verbieten, Glasfaserkabel verbieten, Kabelfernsehen verbieten, Digitalisierung der Telefonie verbieten ...   Sogar Computer wollten die GRÜNEN nicht. Ein Blick in frühere Parteiprogramme zeigt die  Tradition von Die_Gruenen als Verbotspartei   Quelle ;NOT
Die AfD warnt schon lange davor, dass die Schule von links-grünen Lehrern unter Missachtung des Beutelsbacher_Konsens zur politischen Beeinflussung der Schüler missbraucht wird. Man fühlt sich in schlimmste DDR-Zeiten zurückversetzt. Neutrale_Schule ;NOT
Nichts ist in Deutschland mehr unmöglich?? ;NOT
GörlitzistschlauGörlitzwähltblau ????    Ein klares JA für SebastianWippel     Bundesweit starten Migranten, Juden und Homosexuelle einen Gegenprotest. Zuvor hatte 'Hollywood' dazu aufgerufen den AfD OB.-Kandidaten nicht zu wählen. ;NOT
'Ein Video von 75 illegalen Migranten auf einem Schiff in Zarzis sorgte für Aufregung. Die vorwiegend jungen Männer skandierten ihre Forderung nach Einreise in d EU. Die tunesische Regierung hat jetzt beschlossen: Die Männer müssen in ihre Heimat zurück.'    ;NOT
Geldern: Zwei mit osteuropäischem Akzent sprechende Jugendliche überfallen morgens zwei Geschwisterkinder auf dem Schulweg und fordern Geld, treten dem 12-Jährigen in den Bauch, schlagen die Köpfe der Brüder zusammen, die kein Geld dabei haben  ;NOT
Offenburg 25 Jähriger Somalier verprügelt 75 Jährigen Senior. Tritt solange auf den Kopf des am Boden liegenden Seniors ein, bis dieser bewusstlos ist und mit schweren Kopfverletzungen in die Klinik kommt. ;NOT
"Bürgermeister-Wahlen in Italien: Deutsche Medien verschweigen, dass massenhaft sozialistische Hochburgen an Salvini's Lega fallen.  (Grüne spielen dort übrigens keine Rolle.)  ;)  ";NOT
derorient Pegasia111 Uwe_Junge_MdL ...und wahrscheinlich können Sie diese Behauptung mit Fakten unterlegen...;NOT
Ein Kleinkind über die Balkonbrüstung halten und damit drohen es in die Tiefe fallen zu lassen, bleibt straflos, wenn man dessen Vater und  'Flüchtling' ist, der  gerade von der Polizei nach Albanien abgeschoben werden soll. Freispruch! Krefeld ;NOT
"reis_angebrannt derorient Pegasia111 In diesem Land ist jeder rechts™/rechtsextrem™, der nicht innerhalb der von Linkslinken &amp; Grünen definierten Markierung ?? steht.  Protestierende Bürger &amp; Eltern einer 'Schützt unsere Kinder'-Demo Dessau =r";NOT
reis_angebrannt derorient Pegasia111 2/2  Der spontanen Demo in Dessau Rosslau lag ein schwerer sexueller Missbrauch an einem 9jährigen(!) Mädchen durch 27j. Asylbewerber aus Niger zugrunde  der inzwischen verhaftet werden konnte.  Dramatisierung ;NOT
„Ohne ausreichend Personal, den richtigen Einsatzmitteln und vor allem dem politischen Willen, gepaart mit dem nötigen Rückhalt und Vertrauen in die polizeiberlin, wird dort nie Ruhe einkehren.“ *BN BZ_NachtFloh bzberlin ;NOT
Die deutsch / iranische Freundschaft - In Herzlichkeit verbunden.  Ich möchte hier offiziell betonen, daß Herr Steinmeier nicht mein Präsident und HeikoMaas sicherlich auch nicht mein Außenminister ist. Shalom. Bundesregierung Steinmeier Israel Antisemitismus ;NOT
Wenn die das nächste Mal nach Görlitz kommen, können sie die Patenschaft für einige hundert Schutzsuchende übernehmen und,um sich besser zu kümmern, sie gleich mitnehmen.  Offener Brief vor OBM-Wahl - Hollywood-Stars bitten Görlitzer: Wählt weise! ;NOT
"Ich_hake_nach LVZ Ich rufe dazu auf, von nun an die Filme / Bücher mit &amp; von ?? zu boykottieren!    - daniel_bruhl  - ElleVisionnaire  - Burghardt Klaußner   -  brigittebrochet  - boxingondvd  - danielkehlmann  - Bernhard Schlink    Gleiches gi";NOT
ostmann1977 LVZ daniel_bruhl ElleVisionnaire brigittebrochet boxingondvd danielkehlmann Bin von ganzem Herzen ??dabei. AfD AfDwählen   Deutschland hat nur mit der AfD eine Chance auf Zukunft.   Sonst werden wir alle Einzelfallinfos  PS: Und LVZ;NOT
ostmann1977 LVZ daniel_bruhl ElleVisionnaire brigittebrochet boxingondvd danielkehlmann An die Hollywood-Phantasten:  Wir wählen Afd weil wir unsere Freiheit erhalten wollen, bedroht von einer, von Altparteien geförderten, Ideologie mit Endziel We;NOT
ArasBacho Wer hat dem kriminellen Grapscher das geschrieben? So viel IQ hat der nicht, dass der auch nur einen Satz fehlerfrei schreiben kann.;HOF
ArasBacho ? Massive Eingriffe in die Freiheitsrechte  ? Schwächung der wirtschaftlichen Mitte  ? Massive Steuermehrbelastung der Bürger  ? Sozialistische Tendenzen r2g    Vier Gründe, die Gruenen nicht mehr zu wählen...    Und nun? ??  Kanzlerkandidat;NOT
",,..der Reporter...seinen Presseausweis [zückte] u sich mit einem Abstand von &lt; 20 cm vor dem Gesicht eines Beamten aufbaute. Er meinte nach Polizeiangaben, dass man ihm gar nichts könne, da er Journalist sei.'     ,,Polizei: Kein Benehmen trotz hohem Bildungsabschluss'  ZDF ";NOT
Früher warst du 30 Jahre eingesperrt.   Oder du hast dein eigenes Leben riskiert, für die Idee Freiheit und Demokratie.  Heute reicht Schulschwänzen gegen den Klimawandel für den Friedensnobelpreis.  Den Preis kann man schon vergessen. ;NOT
Atze030 GefrKamnitzer TichysEinblick Merkel hinterlässt verbrannte Erde, für die CDU, aber sogar auch außenpolitisch. Dass ihr der amerikanische Präsident nicht einmal mehr die Hand gibt, zeigt den schweren Flurschaden, an dem sie nicht unschuldig ist.;NOT
????da fragt man sich ,was feiern die denn da !? Sich selbst,da sie auf den Grünen Ideologen Zug aufgesprungen sind !? ??    ;NOT
Wenn Sie sich über zu hohe Steuern ärgern - vielleicht sind es gerade Ihre Euros, die als Entwicklungshilfe nach China fließen. Dort ist das Geld ja auch besser angelegt als im deutschem Bildungssystem. ;NOT
In der Regionalbahn BadenBaden nach Rastatt erklärt ein Migrant einer Seniorin wie Integration in Deutschland funktioniert 'Deutschland ist nicht mehr ihr Land, vergessen sie das nicht!' ;NOT
Die Bergung der Leiche im Ankerzentrum Regensburg war zunächst nicht möglich, da die Polizei 2 Stunden von Bewohnern angegriffen wurde. Anzeigen oder Festnahmen gab es übrigens nicht. ;NOT
Mehr als 10.000 Euro im Monat: Abgeordnetendiäten steigen auf Rekordhoch ?? ;NOT
In Gotha gab es nahe einem Einkaufszentrum eine Schießerei. Ein Polizeibeamter wurde verletzt, ein Verdächtiger festgenommen. Zu den Hintergründen schweigt die Polizei ;NOT
Berlin: Palästinenser attackieren in Neukölln am sog. “Palästinenser-Tag” den israelischen Musiker Daniel Gurfinkel massiv und beschimpfen ihn judenfeindlich - Video des Vorfalls zeigt, wie er eingekreist und geschlagen wird Antisemitismus  ;NOT
Regensburg: Syrer (16) schlägt bei einer Geburtstagsfeier in einer Sportgaststätte einer 18-Jährigen ins Gesicht und zückt ein Einhand-Messer - als Gäste dazwischengehen eskaliert die Situation, es kommt zur Massenschlägerei mit mehreren Verletzten  ;NOT
Regensburg Während einer Geburtstagsfeier in einer Sportgaststätte schlägt ein 16 Jähriger syrischer Flüchtling einer 18 Jährigen ins Gesicht und zieht ein Einhandmesser. Einschreitende Gäste finden sich in einer Massenschlägerei wieder ;NOT
Das bka befürchtet, dass Mitglieder der Tschetschenischen Mafia Wachschutzaufträge für Dienstgebäude der Polizei darunter SEK und MEK erhalten haben und sensible Informationen erhalten haben. Die innere Sicherheit in Deutschland ist kaputt.  ;NOT
Lehrerin aus Sachsen berichtet, dass es im Lehrerzimmer 'seit etwa 2 Jahren keine politischen Diskussionen mehr gibt ... keiner traut sich, seinem Herzen diesbezüglich Luft zu machen ... Ich empfinde die Situation heute noch bedrückender als vor 1989.'  ;NOT
Alfred Nobel würde sich im Grab rumdrehen.  Ein Obama (führte die meisten Kriege im Amt eines US-Präsident), wurde der Friedensnobelpreis verliehen.  Nun ein psychisch krankes Kind, steht nun ganz weit oben auf der Liste für die Verleihung des 'Friedensnobelpreis'.  Sind die krank?;HOF
Während in Berlin fleissig Häuser für Flüchtlinge gebaut und das Taschengeld auf 150€ erhöht wird, rechnet das Sozialamt einem bedürftigen deutschen, die Lebensmittelspenden der Tafel als 2900€ Einnahme im Jahr an. ;NOT
Pforzheim: Arabischsprachiger Mann zerrt eine Frau aus dem Bus, die sich über seinen Lärm beschwerte, spuckt ihr ins Gesicht, ohrfeigt sie und tritt die 48-Jährige derart in den Bauch, dass sie verletzt zu Boden geht  ;NOT
Koeln Weil die Irakerin Zozan sich scheiden lies und ein eigenständiges Europäisches Leben ohne Zwang führen wollte, wurde sie von Ex-Ehemann Dilgasch mit Kopfschüssen hingerichtet. Das gehört nunmal jetzt zu Deutschland ;NOT
Diese Videos werden dann nach Hause geschickt, wo man sich köstlich über unseren Staat amüsiert. Zu Recht! Regensburg ;NOT
München: Bankräuber droht mit Bombe: Fotofahndung nach einem arabisch wirkendem Täter, der mit Hilfe eines beschriebenen Zettels wortlos Geld fordert, mit einer Bombe droht und mit 10.000 € die Flucht ergreift  ;NOT
- 14000 Straftaten in 3 Jahren   - 104 Clans ins NRW   - 20% Der Taten von 2 Familien verübt   - 6450 Clanverdächtige  - 2 Tötungsdelikte  Innenminister hreul sollte zugeben, dass Migration und Sicherheit in NRW ausser Kontrolle geraten sind ;NOT
Kriminelle Clans: immerhin, das Thema wird angesprochen. Dass es aber überhaupt soweit kommen konnte, ist eine Bankrotterklärung des Rechtsstaates. Diese Clans gibt es schon lange. Dass es fast immer Migranten sind, ist auch klar. Kriminalität ;NOT
In Hamm wird dieses Herzchen gesucht. Er stieß einen 65 Jahrigen sehbehinderten Mann aus dem Aufzug, als dieser den Aufzug betreten wollte. Der Senior verletzte sich beim Sturz erheblich ;NOT
Seehofer sprach von „Herrschaft des Unrechts“. Jetzt sagt er über Merkel „Wir sollten in der Union stolz sein, dass so eine herausragende Persönlichkeit aus unseren Reihen kommt.“ Der zieht eine Schleimspur von München bis Berlin. Schleimhofer AfD  ;NOT
Hannover Prozess um die versuchte Vergewaltigung einer Bachelor Kandidatin 'Baby Baby i need to fuck' sagte der Flüchtling aus Guinea während er sein Opfer würgte. Bei der Festnahme verletzte er Polizisten und beleidigte sie als Rassisten ;NOT
100 Clans mit drei- und vierstelligen Mitgliederzahlen, 14000 Straftaten in drei Jahren, 6500 Tatverdächtige aus dem Milieu der arabisch-/türkischstämmigen Grossfamilien: Und das ist nicht Deutschland, das ist nur NRW. ;NOT
"Fastenbrechen in Triberg, Bürgermeister &amp; Pfarrer sind auch dabei,die Bürgermeister-Sekretärin aber sitzt bei den Frauen, denn es herrscht 'strikte Trennung der Geschlechter - ausschließlich Männer waren beim Fastenbrechen', Frauen sind in separaten Räumen  ";NOT
der_zmd Über Morde u.Gewaltaten von Deutschen oder Christen wird nicht so ein Spektakel gemacht!! Wer sollte denn in die Moschee reinkommen,auch ein Witz.Kein Fremder darf hinein.Kommt mal wieder auf den Boden ,Bücher sind zu ersetzen Diese Propaganda üb;NOT
Das Schöne am Klimawandel: Damit lässt sich von der massiven Steuererhöhung über die Einschränkung der Reisefreiheit bis zur Beschneidung von Meinungs- und Pressefreiheit jede Maßnahme rechtfertigen, die linken Psychpathen nur einfallen kann. Deshalb fahren die so darauf ab.;HOF
Uni-Senat *hagelvoll? Jetzt kommt der Gender-Zwang an der Ernst-Moritz-Arndt-Universität zu Greifswald!    Aus Orten der Freiheit und der offenen Debatten sind vielerorts mittlerweile Götzentempel der politischen Korrektheit geworden. Handwerk legen! AfD ;NOT
lawyerberlin Lebensformation ich nenne jeden einen Barbaren, der aus religiösem Fanatismus Musikinstrumente zerstört. Wobei Barbar noch sehr milde ist.    VOR ALLEM DIE VOLLIDIOTEN, DIE ORGELN ZERSTÖREN!!     Und überhaupt Kirchenzerstörer!;HOF
Wann verklagt man solche Sitzungsleiterinnen nicht vor den Verfassungsgericht. Die Missbrauchen ihr Amt aufs schändlichste.                    ;NOT
Ur-Großvater im Krieg gedient!  Großvater im Krieg gedient!  Vater und Schwiegervater im Krieg gedient. Teilweise viele Jahre in Gefangenschaft.     Für was?!   DAFÜR??...???:    ?Mundaufmachen?  ?AfD?   UnserLandUnsereKultur ;NOT
rpo_kultur Ich hab zwar nie TKKG gehört, aber jetzt dreht die Welt endgültig durch. Erst war Pippi Langstrumpf ein Problem, jetzt TKKG ... was kommt als nächstes? Gebrüder Löwenherz? Unendliche Geschichte? Michel aus Lönneberga? Hänsel und Gretel? Oder A;NOT
rpo_kultur Welch Schwachsinn, nicht zu fassen.   1. TKKG war nie 'problematisch'.  2. Wer das behauptet, ist in dieser Zeit nicht aufgewachsen oder paranoid.   3. Ich distanziere mich nicht davon.  4. Ich wähle AfD, zu der auch hier eine egtl. unmögliche;NOT
SaschaUlbrich Mundaufmachen AfD ??super, gut gemacht??auf jeden Fall „retweeten“??;NOT
SaschaUlbrich symptompanik Mundaufmachen AfD Man kann wirklich nur verzweifeln. Warum haben die Politiker das zugelassen? Warum haben wir das zugelassen. Fck Islam. Ich will diesen Rotz aus meinem Land haben. Zurück in das Mittelalter mit euch.;HOF
Interessanter Artikel aus 2014.    'Unsere Klimaschutz- und Energiepolitik wird zur Hauptgefahr für die biologische Vielfalt.' Heute, 5 Jahre später, halten wir am Ausbau fest und verschließen weiterhin die Augen vor den Auswirkungen...    AfD wählen!    ;NOT
Sigrid_aktiv Ich staune immer darüber, dass die Grünen keinen Zusammenhang zwischen Bevölkerungsexplosion und Klimazerstörung sehen. Allein die 2 Millionen Migraten, die Wohnung, Auto und Arbeit brauchen, werden wieder ein gewaltiges Stück Grüngürtel in ;NOT
Schweres Unwetter am frühen Abend in München und Umland.  Viele Sachschäden durch Hagel. 2 Menschen leicht verletzt. Kommt gut nach Hause, falls ihr noch unterwegs seid.    ;NOT
????????????????????????ich kann nicht mehr ;NOT
convalaria1 Wirklichkeit123 Tschonka Es wurde nicht verschärft, sondern immer ernster, genauer und buchstäblicher genommen. 'Mein Kampf' auf den Index gesetzt zu haben, aber den Koran nicht, ist die größte zivilisatorische Fehlleistung der Bundesrepubl;NOT
Hauptsache Die_Gruenen haben mal wieder hyperventiliert und Verbote gefordert. Sie können wieder runterkommen, Frau GoeringEckardt.  'Nach Recherchen werden rund 99% der Retouren bei Amazon in irgendeiner Form wieder in den Warenkreislauf zurückgeführt.'  ;NOT
JoanaCotar Notabaris Die_Gruenen GoeringEckardt Die meisten Grünen wären zu dumm, eine Würstchenbude erfolgreich zu betreiben. Aber sie wissen natürlich genau, was Konzerne zu tun haben. Der Standort Deutschland wird scheibchenweise ruiniert.;HOF
JoanaCotar Die_Gruenen GoeringEckardt Alles Ablenkung von der Flüchtlingskrise und der Masseneinwanderung.;NOT
Von was träumt die Nachts? Ist ihr nicht bewußt, das Amazon ein Gigant ist und sie nur eine kleine dumme GRÜNE? Größenwahn ist ihr Metier!  Katrin Göring-Eckardt: Mit Drei-Punkte-Plan - Grüne wollen Amazon Waren-Vernichtung verbieten ;HOF
Welche Botschaft sendet Herr Maas eigentlich an das deutsche, christlich geprägte Volk, wenn seine Aussagen zu religiösen Festen der Muslime deutlich anders wirken als sein „froheWeinachten und Danke für die Zusammenarbeit“ im Dezember (zu Ostern nichts)? ;NOT
Religion des Friedens: Beliebter syrischer Imam ruft in Basel zum Krieg gegen Ungläubige auf!  ;NOT
Irrer Angriff auf die Meinungsfreiheit aus Werte-Deutschland: Merkel-Nachfolgerin Kramp-Karrenbauer fordert Klarnamenpflicht, weil sie wissen möchte, 'was ihr so denkt'!  ;NOT
Köstlich: Die Zehn Gebote der Ökoreligion!  ??  Alle Gebote kann man hier lernen und einstudieren: ;NOT
So eine 'mutige' Berichterstattung (Pfingsten = Drogentrip) würde ich mir mal wünschen, wenn sich weltweit Millionen Bärtige mit dem Gesicht zu Boden Richtung Mekka werfen.  Na, wie wär's, ZDFinfo? ;NOT
Unfassbares Hass-Verbrechen in Chemnitz: Am Tag des islamischen Zuckerfest wollen Rechtsextreme™ ein Ferkel grillen!  ;NOT
Sex-Attacke im Wohnheim für minderjährige Flüchtlinge in Straubing: 14-jähriger Afrikaner bespringt Betreuerin!  ;NOT
Man muss sich einfach mal vergegenwärtigen, um was für Spinner es sich bei den Gehirngewaschenen bei FridaysForFuture handelt: Wer oder was bringt solche Hohlbirnen hervor?  Enjoy!  ??  Ganze Doku: ;HOF
Ich bin meinen Eltern, Lehrern und -an der Uni- Professoren unendlich dankbar, dass sie mich zu kritischem Denken angeleitet haben, um bei solchen Tendenzen 'hellwach' zu sein.  Merci! ;NOT
Obwohl der streng gläubige Herr im Gefährder-System der Polizei in der höchsten Risikoklasse geführt ist, hortet er munter Waffen mit Munition und Schalldämpfer.  Naja, dient wohl der Religionsausübung.  ;NOT
Migranten treten jungen Österreicher zusammen!  Das Ghetto-Viertel, in dem das passiert, ist übrigens ein rot-grünes 'Vorzeigeprojekt' für modernes, nachhaltiges und zukünftiges Wohnen.  ;NOT
Uwe_Junge_MdL da sich hier ja immer so viele Gute tummeln, hab ne Frage... ist das hier auch ein Rassist ??? ;NOT
Max Otte singt beim Hambacher Fest! Die Demonstration der Patrioten verlief ohne Zwischenfälle! ;NOT
So wird in Dunkeldeutschland gehandelt...... Zahlreiche Dessau-Roßlauer hatten am Sonntag über Facebook einen eilig  veröffentlichten Fahndungsaufruf geteilt und verbreitet und auch selbst  nach dem Tatverdächtigen gesucht und den Nigerer gestellt. ;NOT
baerbeli04 AndreaG799 Ein Hoch auf die Bürger von Roßlau ??;NOT
baerbeli04 bernd471 Ich bin selbst aus dem Westen, aber davon können sich die gehirngewaschenen Weichbirnen mal eine Scheibe abschneiden.;HOF
Die Fakten zum Gästehaus der Bundesregierung Schloss Meseberg   - In 1461 Tagen nur an 32 Tagen genutzt   - In 1461 Tagen Unterhaltskosten von 4,7 Millionen  - In 1461 Tagen Objektschutzkosten 15,4 Millionen   - Kosten in 3 Jahren etwa 20 Millionen Euro     ;NOT
